Language,lat_str,lon_str,genus,family,countrycodes,Century of Death
Abipón,-29.0,-61.0,South Guaicuruan,Guaicuruan,AR,1701-1800
Aka-Cari,13.5,93.0,Great Andamanese,Great Andamanese,IN,1901-2000
Aka-Kede,12.75,92.75,Great Andamanese,Great Andamanese,IN,1901-2000
Alsea,44.6666666667,-123.916666667,Alsea,Oregon Coast,US,1901-2000
A-Pucikwar,12.166666666700001,92.8333333333,Great Andamanese,Great Andamanese,IN,2001-2100
Aribwatsa,-6.716666666669999,147.0,Oceanic,Austronesian,PG,2001-2100
Atakapa,30.0,-93.5,Atakapa,Atakapa,US,1901-2000
Atsugewi,40.75,-121.0,Palaihnihan,Hokan,US,1901-2000
Beothuk,48.0,-57.0,Beothuk,Beothuk,CA,1801-1900
Biloxi,30.5,-88.6666666667,Core Siouan,Siouan,US,1901-2000
Chicomuceltec,15.5,-92.25,Mayan,Mayan,MX,1901-2000
Chimariko,41.0,-123.0,Chimariko,Hokan,US,1901-2000
Comecrudo,25.8333333333,-99.0,Comecrudan,Comecrudan,MX,1801-1900
Chemakum,48.0833333333,-122.916666667,Chimakuan,Chimakuan,US,1901-2000
Coahuilteco,28.0,-100.0,Coahuiltecan,Coahuiltecan,MX,1701-1800
Coptic,26.0,32.0,Egyptian-Coptic,Afro-Asiatic,EG,1601-1700
Cornish,50.3333333333,-5.0,Celtic,Indo-European,GB,1701-1800
Chitimacha,29.6666666667,-91.0,Chitimacha,Chitimacha,US,1901-2000
Catawba,35.5,-80.5,Catawban,Siouan,US,1901-2000
Cupeño,33.1666666667,-116.5,California Uto-Aztecan,Uto-Aztecan,US,1901-2000
Esselen,36.25,-121.75,Esselen,Esselen,US,1801-1900
Eyak,60.5,-145.0,Eyak,Na-Dene,US,2001-2100
Gaagudju,-12.583333333299999,132.83333333299998,Gaagudju,Gaagudju,AU,2001-2100
Jurchen,47.0,130.0,Tungusic,Altaic,CN,1601-1700
Kaurna,-34.25,138.5,Central Pama-Nyungan,Pama-Nyungan,AU,1901-2000
Kitsai,31.8333333333,-96.5,Caddoan,Caddoan,US,1901-2000
Karankawa,28.0,-97.0,Karankawa,Karankawa,US,1801-1900
Kato,39.6666666667,-123.666666667,Athapaskan,Na-Dene,US,1901-2000
Kott,57.0,94.0,Yeniseian,Yeniseian,RU,1801-1900
Mbabaram,-17.1666666667,145.0,Northern Pama-Nyungan,Pama-Nyungan,AU,1901-2000
Mbara,11.0,15.416666666700001,Biu-Mandara,Afro-Asiatic,TD,1801-1900
Mochica,-7.5,-79.3333333333,Chimúan,Chimúan,PE,1901-2000
Mandan,46.5,-102.5,Core Siouan,Siouan,US,2001-2100
Mahican,42.6666666667,-73.5,Algonquian,Algic,US,1901-2000
Molala,44.5,-122.5,Molala,Penutian,US,1901-2000
Manx,54.1666666667,-4.5,Celtic,Indo-European,GB,1901-2000
Martuthunira,-20.8333333333,116.5,Western Pama-Nyungan,Pama-Nyungan,AU,1901-2000
Muruwari,-28.75,147.0,Southeastern Pama-Nyungan,Pama-Nyungan,AU,2001-2100
Mattole,40.1666666667,-124.166666667,Athapaskan,Na-Dene,US,1901-2000
Mutsun,36.8333333333,-121.5,Costanoan,Penutian,US,1901-2000
Natchez,31.75,-91.3333333333,Natchez,Natchez,US,1901-2000
Nanticoke,38.0,-76.25,Algonquian,Algic,US,1801-1900
Nyawaygi,-19.0,146.16666666700002,Northern Pama-Nyungan,Pama-Nyungan,AU,2001-2100
Nyulnyul,-17.0,122.833333333,Nyulnyulan,Nyulnyulan,AU,1901-2000
Osage,37.0,-94.0,Core Siouan,Siouan,US,2001-2100
Polabian,51.0,12.833333333299999,Slavic,Indo-European,DE,1701-1800
Powhatan,37.3333333333,-76.5,Algonquian,Algic,US,1701-1800
Pitta Pitta,-22.8333333333,140.0,Central Pama-Nyungan,Pama-Nyungan,AU,1901-2000
Salinan,36.0,-121.0,Salinan,Salinan,US,1901-2000
Shasta,41.8333333333,-122.666666667,Shasta,Hokan,US,1901-2000
Siuslaw,44.0,-124.0,Siuslawan,Oregon Coast,US,1901-2000
Serrano,34.5,-117.0,California Uto-Aztecan,Uto-Aztecan,US,2001-2100
Siraya,23.0,120.25,East Formosan,Austronesian,TW,1901-2000
Slovincian,54.0,16.0,Slavic,Indo-European,PL,1901-2000
Tillamook,45.3333333333,-123.75,Tillamook,Salishan,US,1901-2000
Takelma,42.5,-123.0,Takelma,Takelma,US,1901-2000
Tonkawa,30.25,-96.75,Tonkawa,Tonkawa,US,1901-2000
Tasmanian,-42.1666666667,146.5,Tasmanian,Tasmanian,AU,1901-2000
Tutelo,37.6666666667,-78.75,Core Siouan,Siouan,US,1801-1900
Tunica,32.6666666667,-91.0,Tunica,Tunica,US,1901-2000
Twana,47.6666666667,-122.75,Central Salish,Salishan,US,1901-2000
Ubykh,43.6666666667,39.6666666667,Northwest Caucasian,Northwest Caucasian,RU TR,1901-2000
Unami,40.0,-75.1666666667,Algonquian,Algic,US,2001-2100
Wappo,38.5,-122.5,Wappo,Wappo-Yukian,US,1901-2000
Wichita,33.3333333333,-97.3333333333,Caddoan,Caddoan,US,2001-2100
Wiyot,40.8333333333,-124.166666667,Wiyot,Algic,US,1901-2000
Warluwara,-22.0,138.5,Western Pama-Nyungan,Pama-Nyungan,AU,1901-2000
Wathawurrung,-38.0,144.0,Southeastern Pama-Nyungan,Pama-Nyungan,AU,1801-1900
Woiwurrung,-37.5,145.5,Southeastern Pama-Nyungan,Pama-Nyungan,AU,1801-1900
Wyandot,44.3333333333,-77.5,Northern Iroquoian,Iroquoian,CA,1901-2000
Yalarnnga,-22.0,140.0,Northern Pama-Nyungan,Pama-Nyungan,AU,1901-2000
Yugh,61.0,90.0,Yeniseian,Yeniseian,RU,1901-2000
Yurok,41.3333333333,-124.0,Yurok,Algic,US,2001-2100
Yawuru,-18.0,122.5,Nyulnyulan,Nyulnyulan,AU,1901-2000
Zhang-Zhung,31.5833333333,78.4166666667,Bodic,Sino-Tibetan,IN,901-1000
