ISOCode,Name,lat,lon,name
NL,Dutch,52.5,6,Netherlands
CL,Mapudungun,-38,-72,Chile
US,Algonquian (Powhatan),43.2567,-79.8691,United States
DZ,Arabic,25,42,Algeria
IE,Celtic,50.1186,-5.53715,Ireland
TW,Min,24.4796,118.089,China
IT,Latin,41.8955,12.4823,Italy
DE,Germanic,54.9158,8.33083,Germany
EG,Coptic,26,32,Egypt
AU,Dharuk,-33.8671,151.207,Australia
CA,Eastern Abenaki,44,-71,Canada
ES,Spanish,40,-4,Spain
FR,Frankish,49,4,France
FR,French,48,2,France
FR,French (Anglo-Norman),50.86,0.571944,France
FR,Old French,49.2566,4.03309,France
FR,French (Walloon),50.4641,4.86043,France
DE,German,52,10,Germany
DE,Middle High German,48.5,8,Germany
DE,Middle Low German,51.8,12.0667,Germany
DE,West Germanic,52,7,Germany
GR,Greek,37.0378,27.4239,Greece
AU,Guugu Yimidhirr,-15,144.833,Australia
IL,Hebrew,31.5,34.8333,Israel
IT,Italian,43,12,Italy
IN,Kannada,14,76,India
IT,Late Latin,44.4167,12.2,Italy
IT,Vulgar Latin,40.8167,14.1167,Italy
MY,Malay,3,102,Malaysia
NL,Middle Dutch,51.7,5.31667,Netherlands
FR,Middle French,47.5855,1.33095,France
NO,Middle North Germanic,60,11,Norway
CA,Mikmaq,45,-63,Canada
MN,Mongolian,47,105,Mongolia
MX,Nahuatl,19.4333,-99.1333,Mexico
US,Narragansett,42.6667,-73.5,United States
NO,Norwegian,61,8,Norway
FR,Occitan,44,2,France
IN,Sanskrit,25.282,82.9563,India
AT,Old Norse,47,13,Austria
IR,Old Persian,34.3883,47.4367,Iran
LB,Phoenician,34.1236,35.6511,Lebanon
PT,Portuguese,39,-8,Portugal
DK,Proto-Germanic,55.5,9,Denmark
IQ,Proto-Semitic,33,40,Iraq
GB,Gaelic (Scottish),57,-4,Scotland
PF,Tahitian,-17.6667,-149.583,Tahiti
BS,Taino,25.0343,-77.3963,The Bahamas
IN,Tamil,11,78.5,India
BR,Tupí,-6,-36,Brazil
GB,Welsh,52,-3,Wales
SN,Wolof,15.25,-16,Senegal
GB,English,51,0,United Kingdom
